code,countries,category,name,centroid,activationTime,lastUpdate,drmPhase,closed,n_aois,n_products,search_snippet,past_items_search_text
EMSR664,[{'short_name': 'Italy'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Italy,POINT (12.046509 44.251702),2023-05-16T14:33:00,2023-11-28T09:45:03.765684,response,True,8,12,"A new wave of severe weather has again hit south-eastern areas of the Emilia-Romagna region, Italy. The same area was faced with floods already on 2 May 2023, which resulted in three deaths. The accompanying rains also caused landslides in the middle Apennines area of this region, which left hund...",
EMSR662,[{'short_name': 'Uganda'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Uganda,POINT (31.762505 0.069695),2023-05-15T17:39:00,2023-11-28T09:59:10.203737,response,True,1,1,"River Katonga in Western Uganda flooded on the morning of Thursday 11th May 2023 after heavy rain and submerged the major trans-national road connecting the central and northern part of the country to the western and south-western parts of the country as well as to Rwanda, Burundi and DR Congo. B...",
EMSR663,[{'short_name': 'Mozambique'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Mozambique,POINT (35.946045 -15.250623000000001),2023-05-15T13:57:00,2023-11-27T14:19:08,response,True,1,1,"Following Cyclone Freddy several communities in central and northern provinces of Mozambique have been totally isolated. In the framework of the emergency response, WFP is planning to provide food assistance to a community particularly impacted by floods located in an area that is being reported...",
EMSR661,[{'short_name': 'Myanmar/Burma'}],"{'slug': 'storm', 'name': 'Storm'}",Storm in Myanmar,POINT (92.86743 20.20721999999999),2023-05-12T12:54:00,2023-11-28T09:42:18,response,True,7,14,Tropical cyclone MOCHA-23 formed over the southern Bay of Bengal on 11th of May 2023 with predicted category 3 and winds up to 204km/h. It is expected to landfall on Sunday 14th of May in Sittwe city with maximum sustained winds up to 165km/h. Exposed population can be up to 2.6 million people.,
EMSR660,[{'short_name': 'Sweden'}],"{'slug': 'fire', 'name': 'Wildfire'}","Forest fire in Ulricehamn region, Sweden",POINT (13.273636 57.828461),2023-05-10T21:35:00,2023-11-28T09:43:29.267326,response,True,1,1,,
EMSN148,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}","Forest fire impact assessment of the Natura 2000 site Balsa del Pulguer, Spain",POINT (-1.7039 42.0525),2023-05-04T14:12:00,,recovery,True,1,3,"During the evening of 14/03/2023, a forest fire started in the Natura 2000 area of La Balsa del Pulguer. The protected area of Balsa del Pulguer is home to valuable and threatened species and habitats, serving as a site for recreational activities. With the aim of quantifying and qualifying the e...",
EMSR659,[{'short_name': 'Italy'}],"{'slug': 'flood', 'name': 'Flood'}","Flood in Emilia-Romagna, Italy",POINT (11.845322 44.396995),2023-05-03T09:39:00,2023-11-27T14:18:33.903422,response,True,7,12,,
EMSN149,[{'short_name': 'Portugal'}],"{'slug': 'fire', 'name': 'Wildfire'}","Monitoring areas damaged by forest fires in Serra da Estrela, Portugal",POINT (-7.39959 40.47694),2023-05-02T01:00:00,,recovery,True,1,12,"In August 2022, a wild forest fire affected the Portuguese Serra da Estrela National Park for several days, with strong winds and high temperatures making it difficult for firefighters to control the flames. The Copernicus Emergency Management Service Rapid Mapping (EMSR618) was activated to resp...",
EMSR657,[{'short_name': 'Latvia'}],"{'slug': 'flood', 'name': 'Flood'}","Flood in Daugava River valley, Latvia",POINT (26.361694 56.011946),2023-03-31T11:49:00,2023-11-28T09:42:43.957163,response,True,1,7,,
EMSR656,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}","Fire in Castellon and Teruel provinces, Spain",POINT (-0.600162 40.069301),2023-03-24T12:39:00,2023-11-28T09:43:09.187690,response,True,1,5,"On the 23 March 2023 at 12:40 UTC, a forest fire started in the provinces of Castellon and Teruel, Spain. The event is on-going and has already burned a considerable area. The flames are close to urban areas and several villages have been evacuated. Copernicus EMS Rapid Mapping is requested to pr...",
EMSR654,[{'short_name': 'Mozambique'}],"{'slug': 'storm', 'name': 'Storm'}",Tropical Cyclone Freddy in Mozambique,POINT (36.01 -17.88),2023-03-13T08:26:00,2023-03-23T15:01:00,response,True,2,6,,Mutarara Delineation Quelimane Delineation Quelimane Delineation Mutarara Delineation Mutarara Delineation Mutarara Delineation Quelimane Delineation Quelimane First Estimate
EMSR653,[{'short_name': 'Vanuatu'}],"{'slug': 'storm', 'name': 'Storm'}",Storm in Vanuatu,POINT (168.852 -17.651),2023-03-04T07:47:00,2023-03-14T09:06:00,response,True,6,12,,Port Vila South Grading Eratap Grading Lenakel Grading Pango Grading Port Vila North Grading Pango Reference Mele Maat Grading Port Vila South Reference Port Vila North Reference Eratap Reference Lenakel Reference Mele Maat Reference
EMSN142,[{'short_name': 'Italy'}],"{'slug': 'mass', 'name': 'Mass Movement'}","Post-disaster evaluation and preparedness analysis of landslide risk in Ischia, Italy",POINT (13.900199999999998 40.73937999999999),2023-02-23T09:54:00,2026-01-21T13:19:18.646745,recovery,True,3,13,"On 27 November 2022, a landslide occurred in the municipality of Casamicciola on the island of Ischia, Italy, which affected 28.2 hectares of land. The incident was triggered by heavy rainfall, with more than 120 mm recorded within six hours. The landslide occurred between 03:00 and 05:00 am, res...",
EMSR652,[{'short_name': 'Madagascar'}],"{'slug': 'storm', 'name': 'Storm'}",Tropical Cyclone Freddy in Madagascar,POINT (48.65459 -20.25323),2023-02-19T14:41:00,2023-03-01T21:04:00,response,True,6,11,,
EMSR650,[{'short_name': 'Mozambique'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Mozambique,POINT (32.485 -25.3307),2023-02-11T16:34:00,2023-02-21T20:33:00,response,True,5,8,,
EMSR649,[{'short_name': 'Italy'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Sicily- Italy,POINT (15.26 36.96),2023-02-09T02:33:00,2023-02-13T01:20:00,response,True,5,8,,
EMSR648,[{'short_name': 'Türkiye'}],"{'slug': 'earthquake', 'name': 'Earthquake'}",Earthquake in East Anatolian Fault Zone,POINT (37.64918 36.780959999999986),2023-02-06T04:43:00,2023-02-15T08:26:00,response,True,20,37,,
EMSR647,[{'short_name': 'Chile'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest Fires in Chile,POINT (-73.27394 -37.38724),2023-02-05T20:28:00,2023-02-22T17:57:00,response,True,7,38,,
EMSR646,[{'short_name': 'Kosovo'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Kosovo,POINT (20.6 42.72),2023-01-27T16:54:00,2023-02-02T20:47:00,response,True,5,5,,
EMSR645,[{'short_name': 'Madagascar'}],"{'slug': 'storm', 'name': 'Storm'}",Tropical Storm Cheneso in Madagascar,POINT (46.99683 -18.36605),2023-01-25T10:39:00,2023-02-01T12:55:00,response,True,10,25,,
EMSR644,[{'short_name': 'Latvia'}],"{'slug': 'flood', 'name': 'Flood'}",Ice Jam and Flood in Aizkraukles and Jekabpils- Latvia,POINT (25.62793999999999 56.55135999999998),2023-01-11T13:53:00,2023-01-20T13:18:00,response,True,1,5,"In Plavinu reservoir on Daugava river an ice jam occurred, resulting in a rise of the water level. Rapid water level changes are likely over the coming days due to the movement of the ice and slush.",
EMSN140,[{'short_name': 'Chad'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Chad,POINT (13.41644 14.32929),2022-12-21T15:08:00,,recovery,True,3,12,The CEMS Risk and Recovery Mapping service has been activated for an assessment of the extent of floods that occurred in October 2022 in the Lake Chad area. The request included projections and an analysis of the difference between seasonal/structural and extraordinary (one-off) precipitations an...,
EMSN141,[{'short_name': 'Bulgaria'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Bulgaria,POINT (24.65888 42.64112),2022-11-30T01:00:00,,recovery,True,1,4,"The CEMS Risk and Recovery Standard has been activated for the analysis of the flood occurred in September 2022 in Bulgaria, in the villages of Bogdan and Karavelovo, in Karlovo Municipality.From the 2nd of September 2022, torrential rainfalls caused rivers and streams to overflow flooding severa...",
EMSR643,[{'short_name': 'Italy'}],"{'slug': 'mass', 'name': 'Mass Movement'}",Mudflow in Ischia- Italy,POINT (13.90127 40.74285),2022-11-26T11:22:00,2022-12-02T18:04:00,response,True,1,2,,
EMSR642,[{'short_name': 'Italy'}],"{'slug': 'storm', 'name': 'Storm'}",Storm in Emilia Romagna- Italy,POINT (12.33028 44.26552),2022-11-24T16:25:00,2022-11-25T04:46:00,response,True,7,6,,
EMSR641,[{'short_name': 'Indonesia'}],"{'slug': 'earthquake', 'name': 'Earthquake'}",Earthquake in Indonesia,POINT (107.0946 -6.8531),2022-11-22T09:26:00,2022-11-30T18:13:00,response,True,4,8,,
EMSR640,[{'short_name': 'United Kingdom'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Scotland- United Kingdom,POINT (-3.31921 57.09583),2022-11-18T21:46:00,2022-11-25T18:29:00,response,True,4,10,,
EMSR639,[{'short_name': 'Belize'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Belize,POINT (-88.43719 17.41617),2022-11-04T21:47:00,2022-11-12T02:32:00,response,True,4,5,,
EMSR638,"[{'short_name': 'Bulgaria'}, {'short_name': 'Greece'}]","{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Papikio Mountain- Greece,POINT (25.301619999999993 41.21764),2022-11-03T11:13:00,2022-11-11T16:32:00,response,True,1,6,,
EMSR637,[{'short_name': 'Australia'}],"{'slug': 'flood', 'name': 'Flood'}",Floods in Australia,POINT (147.87598 -32.54681),2022-10-12T08:17:00,2022-11-10T15:22:00,response,True,17,32,,
EMSN139,[{'short_name': 'Luxembourg'}],"{'slug': 'flood', 'name': 'Flood'}","Retrospective flood analysis in Luxembourg, July 2021",POINT (6.25539 49.64597),2022-10-11T01:00:00,,recovery,True,2,10,"The CEMS Risk and Recovery Standard has been activated for a retrospective assessment of an extreme flooding across Western Europe in summer 2021, which had devastating impacts on Luxembourg. Institute MeteoLux, the Luxembourgish meteorological institute, reported torrential rains broke two recor...",
EMSN138,[{'short_name': 'Nigeria'}],"{'slug': 'other', 'name': 'Other'}","Crop change detection in conflict-affected areas of Nigeria, agricultural season 2022",POINT (10.06986 12.21578),2022-09-28T01:00:00,,preparedness,True,44,44,,
EMSR636,[{'short_name': 'Philippines'}],"{'slug': 'storm', 'name': 'Storm'}",Typhoon Noru in Philippines,POINT (121.45546 14.78648),2022-09-26T10:52:00,2022-10-05T13:17:00,response,True,9,6,,
EMSR635,[{'short_name': 'Canada'}],"{'slug': 'storm', 'name': 'Storm'}",Hurricane Fiona in Canada,POINT (-60.5754 46.9225),2022-09-24T22:35:00,,response,True,5,4,,
EMSR634,[{'short_name': 'Italy'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Marche and Umbria Regions- Italy,POINT (13.14526 43.71681),2022-09-16T09:48:00,2022-09-21T14:14:00,response,True,9,9,,
EMSR633,[{'short_name': 'France'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Saumos- Gironde- France,POINT (-0.83 44.99),2022-09-14T09:51:00,2022-09-20T10:27:00,response,True,1,4,,
EMSN137,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}","Wildfire in Ciudad Autónoma de Ceuta, Spain",POINT (-5.32888 35.88705),2022-09-12T16:59:00,,recovery,True,1,2,,
EMSR632,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest fires in Los Guajares- Andalucia- Spain,POINT (-3.6159 36.8878),2022-09-10T17:45:00,2022-09-15T21:30:00,response,True,1,4,,
EMSR631,[{'short_name': 'Pakistan'}],"{'slug': 'flood', 'name': 'Flood'}",Flood in Pakistan,POINT (68.95551 26.05482),2022-09-10T08:34:00,2022-09-26T15:51:00,response,True,2,4,,
EMSR630,[{'short_name': 'Germany'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Harz region- Germany,POINT (10.62547 51.78271),2022-09-04T02:56:00,,response,True,1,0,,
EMSR629,[{'short_name': 'Pakistan'}],"{'slug': 'flood', 'name': 'Flood'}",Floods in Pakistan,POINT (68.21241 27.26385),2022-08-29T10:50:00,2022-09-01T09:11:00,response,True,3,5,,
EMSN136,[{'short_name': 'Poland'}],"{'slug': 'environment', 'name': 'Environmental Degradation'}",Water quality assessment of river Odra,POINT (17.199319999999997 50.99910999999999),2022-08-29T02:00:00,,recovery,True,2,5,"The activation was triggered due to a massive fish die-off in the Odra (Oder) river beginning in late July 2022 in the upstream area around the village of Lipki and moving downstream to Kostrzyn nad Odrą, where dead fishes were encountered at 10th of August 2022. The activation aims to provide a...",
EMSR628,[{'short_name': 'Portugal'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest fire in Samarda - Vila Real- Portugal,POINT (-7.737 41.378),2022-08-22T23:09:00,2022-08-24T20:37:00,response,True,1,2,,
EMSR627,[{'short_name': 'Hungary'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Orkeny- Hungary,POINT (19.4076 47.11506),2022-08-22T09:12:00,2022-08-25T15:36:00,response,True,1,1,,
EMSR626,[{'short_name': 'Italy'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Pantelleria Island- Italy,POINT (12 36.8),2022-08-18T12:34:00,2022-08-19T16:14:00,response,True,1,1,,
EMSR625,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire  in the Valencian Community- Spain,POINT (-0.39 39.3178),2022-08-18T09:15:00,2022-08-25T14:02:00,response,True,2,4,,
EMSR624,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest Fire in Thassos Island - Greece,POINT (24.735 40.697),2022-08-17T09:35:00,2022-08-19T17:51:00,response,True,1,1,,
EMSR623,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Fire in Anon del Moncayo- Zaragoza- Spain,POINT (-1.74562 41.8577),2022-08-13T18:53:00,2022-08-16T00:34:00,response,True,1,2,,
EMSR622,[{'short_name': 'Cuba'}],"{'slug': 'industrial', 'name': 'Industrial Accident'}","Industrial accident in Matanzas, Cuba",POINT (-81.53752 23.07146),2022-08-10T13:31:00,2022-08-14T21:00:00,response,True,1,1,"On 05/08/2022 a fire caused by a storm occurred in the industrial zone of Matanzas, in Cuba's main oil terminal. The fire started affecting a first tank with 25,000 cubic meters of crude oil in the local refinery. After this first phase, two further tanks of approximately 50,000 cubic meters caug...",
EMSR621,[{'short_name': 'Slovenia'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Municipality of Koper- Slovenia,POINT (13.85847 45.58378),2022-08-10T13:17:00,2022-08-12T22:14:00,response,True,1,1,,
EMSR620,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Castilla y Leon- Spain,POINT (-4.85274 42.96944),2022-08-10T09:42:00,2022-08-15T17:20:00,response,True,1,4,,
EMSR619,[{'short_name': 'France'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest fires in South West- Gironde and Landes- France,POINT (-0.69229 44.44157),2022-08-10T09:11:00,2022-08-12T23:20:00,response,True,1,2,,
EMSR618,[{'short_name': 'Portugal'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Covilhã- Portugal,POINT (-7.50471 40.34583),2022-08-09T13:11:00,2022-08-19T00:40:00,response,True,1,5,A forest fire started on 6 August 2022 in the Natural Park of Serra de Estrela (Covilhã / Castelo Branco district). The fire has already burned more than 4.000 ha of cork oaks and pine trees forest.,
EMSN135,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}","Forest fire in San Juan de la Nava, Spain",POINT (-4.6486 40.46591),2022-08-08T17:58:00,,recovery,True,1,2,"The CEMS Risk and Recovery Standard (RRM STD) has been activated by the Spanish General Directorate of Civil Protection and Emergencies (CENEM) on behalf of the government of Castilla y León region (Spain), following the forest fire that broke out in the municipalities of San Juan de la Nava and...",
EMSR617,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Junta de Castilla Y Leon- Spain,POINT (-4.94978 40.23943),2022-08-08T10:27:00,2022-08-11T15:21:00,response,True,1,2,,
EMSN134,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}","Forest fire in Carcastillo, Spain",POINT (-1.41744 42.339),2022-08-05T15:00:00,,recovery,True,1,1,"This CEMS Risk and Recovery Standard activation has been requested to provide damage delineation and grading product over the municipality of Carcastillo, in the region of Navarra (Spain), which was hit by a forest fire on 25th July 2022, started around 13:20 (local time).

According to the news,...",
EMSR616,"[{'short_name': 'Bosnia and Herzegovina'}, {'short_name': 'Montenegro'}]","{'slug': 'fire', 'name': 'Wildfire'}",Fire in Montenegro and Bosnia and Herzegovina,POINT (18.49336 42.44861),2022-08-05T11:26:00,2022-08-08T17:53:00,response,True,2,4,,
EMSR615,[{'short_name': 'Germany'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Berlin Grunewald Forest,POINT (13.22 52.46),2022-08-05T08:39:00,2022-08-08T20:45:00,response,True,1,3,A Forest Fire was ignited in a storage facility/ blasting area for explosive ordnances in Grunewald Forest (south-western Berlin) early 04 August. Countless explosions of the stored ordnances caused the fire to spread to 50 ha and significantly impede fighting the fire. Fire extinguishing robots...,
EMSN133,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}","Forest fires in Caceres, Spain",POINT (-5.74069 39.99178),2022-07-30T02:00:00,,recovery,True,2,2,"The CEMS Risk and Recovery Standard (RRM STD) has been activated by the Spanish General Directorate of Civil Protection and Emergencies (CENEM) on behalf of the Ministry of Interior of Spain, D. G. Guardia Civil and Jefatura del Seprona, following the forest fires that broke out in the municipali...",
EMSR614,[{'short_name': 'Portugal'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wild Fire in Vila Real- Portugal,POINT (-7.569719999999999 41.48875999999999),2022-07-28T19:40:00,2022-08-01T16:52:00,response,True,1,4,"A forest fire started on 27/07/2022 at 17:14 in the forest perimeter of Serra da Padrela (Vila Real).
The fire combat is difficult due to the orography and strong winds, the area already affected is roughly 1000 ha.",
EMSR613,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest Fire in Tenerife- Canary Islands- Spain,POINT (-16.61671 28.32626),2022-07-27T11:51:00,2022-07-28T20:20:00,response,True,1,1,,
EMSR612,[{'short_name': 'Philippines'}],"{'slug': 'earthquake', 'name': 'Earthquake'}",Earthquake in the Philippines,POINT (120.75897 17.53491),2022-07-27T09:39:00,2022-08-01T19:27:00,response,True,3,3,,
EMSR611,[{'short_name': 'Germany'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Brandenburg- Germany,POINT (13.1791 51.5603),2022-07-26T11:34:00,2022-07-29T17:14:00,response,True,1,4,,
EMSR610,"[{'short_name': 'Czechia'}, {'short_name': 'Germany'}]","{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Saxony- Germany,POINT (14.25972 50.89583),2022-07-26T09:36:00,2022-08-11T22:16:00,response,True,1,4,,
EMSR609,[{'short_name': 'Portugal'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Portugal,POINT (-8.26538 37.33952),2022-07-26T02:48:00,2022-07-26T17:44:00,response,True,1,2,"A forest fire started on 25/07/2022 at 13.13 in Algarve, in the freguesia of São Marcos da Serra (Silves / Faro District). The fire is spreading in a forest area of pine trees, cork oaks and shrub and the combat involves more than 600 firemen and 200 vehicles.
The area already affected is roughl...",
EMSR608,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Krestena- Greece,POINT (21.67697 37.58056),2022-07-25T07:19:00,2022-07-26T14:14:00,response,True,1,2,,
EMSR607,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest fire in Lesvos- Greece,POINT (26.22925 39.0339),2022-07-24T09:04:00,2022-07-29T19:27:00,response,True,1,4,,
EMSR606,[{'short_name': 'North Macedonia'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest fire in Republic of North Macedonia,POINT (22.658029999999997 41.73552999999999),2022-07-22T10:27:00,2022-07-23T17:53:00,response,True,1,1,,
EMSR605,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Dadia National Park,POINT (26.2078 41.08921),2022-07-22T10:15:00,2022-07-27T17:44:00,response,True,1,5,,
EMSR604,[{'short_name': 'Slovenia'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest fire in South Western Slovenia,POINT (13.62806 45.84108),2022-07-21T08:24:00,2022-07-27T10:15:00,response,True,1,4,,
EMSR602,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfires in Castilla y Leon- Spain,POINT (-6.0097 41.8013),2022-07-20T16:11:00,2022-08-04T20:07:00,response,True,8,14,,
EMSR603,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Fire in Navafria- Castilla y Leon- Spain,POINT (-3.83936 41.14242),2022-07-20T15:21:00,2022-07-23T17:42:00,response,True,1,2,,
EMSR601,[{'short_name': 'Italy'}],"{'slug': 'fire', 'name': 'Wildfire'}",Fire in Friuli-Venezia Giulia- Italy,POINT (13.53104 45.80884),2022-07-20T12:06:00,2022-07-22T17:54:00,response,True,1,4,"Early Tuesday morning, the 19/07/2022, a large fire broke out in the area between Monfalcone and Doberd√≤ del Lago in Friuli Venezia Giulia, Italy. The fire has continued to spread approaching the A4 highway, reaching about 250 meters from the carriageway: the section in the direction of Venice w...",
EMSR600,[{'short_name': 'Italy'}],"{'slug': 'fire', 'name': 'Wildfire'}",Fire in Tuscany- Italy,POINT (10.34483 44.01642),2022-07-20T11:54:00,2022-07-22T16:05:00,response,True,1,4,"Since the afternoon of 18 July, a large fire has been affecting the woods around the Bozzano locality of Massarosa, in the province of Lucca. The fire-front is several kilometres long and has burned about 60 hectares of forest and Mediterranean bush. The fire is still ongoing. National and region...",
EMSR599,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Galicia- Spain,POINT (-7.05528 42.49442),2022-07-20T11:45:00,2022-07-26T13:24:00,response,True,2,5,"On 14/07/2022 and 15/07/2022, major wildfires started on Lugo and Ourense provinces (Galicia ‚Äì NW Spain). These fires are affecting mainly Folgoso do Courel, O Barco de Valdeorras, Carballeda de Valdeorras municipality near Ancares ‚Äì Courel Natura2000 area. Due to adverse weather conditions,...",
EMSR598,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Athens- Greece,POINT (23.9011 38.0323),2022-07-20T08:57:00,2022-07-22T00:30:00,response,True,1,2,"A forest fire broke out on the slopes of Mount Penteli in the northern suburbs of Athens on 19 July 2022._x000D_
Residents of the towns Anthousa, Drafi, Pikermi, Pallini, Penteli, Dioni, were ordered to evacuate, as the flames approached their houses._x000D_
Copernicus EMS Mapping products will b...",
EMSR597,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Aragon- Spain,POINT (-1.90482 41.38567),2022-07-19T18:01:00,2022-07-21T22:22:00,response,True,1,3,"Due to the extreme situation in which the Iberian Peninsula finds itself, a fire started on July 18 in Ateca, Zaragoza that has devastated 2000 hectares and with the potential to burn more surface, it is an area with a large amount of fuel and high value ecological. Copernicus EMS rapid mapping i...",
EMSR596,[{'short_name': 'Portugal'}],"{'slug': 'fire', 'name': 'Wildfire'}",Fire in Murça- Vila Real- Portugal,POINT (-7.453719999999998 41.4004),2022-07-19T00:07:00,2022-07-21T19:46:00,response,True,1,2,"A forest fire started 17/07/2022 at 16:35 in the Murça municipality and after more than 24 hours it's now spreading towards Vila Pouca de Aguiar and Carrazedo de Montenegro, district of Vila Real, the fire has already affected roughly 6.000 hectares. Copernicus EMS Rapid Mapping is requested to p...",
EMSR595,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest fire in Samos Island- Greece,POINT (26.6084 37.708),2022-07-18T10:37:00,2022-07-20T11:10:00,response,True,1,1,"A forest fire started near Paleochori village in Samos Island, Greece, Wednesday 13 July around noon, burning pine forest, scrub and cultivated fields. Copernicus EMS Rapid Mapping is requested to provide Delineation and Grading products. Copernicus EMS Mapping products will be used mainly by loc...",
EMSR594,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest Fire in North Peloponnese- Greece,POINT (21.7213 38.1501),2022-07-18T08:53:00,2022-07-19T19:59:00,response,True,1,1,"A forest fire started near Lygies village in Achaia regional unit (Northern Peloponnese, Greece) on Saturday noon, burning pine forest, scrub and cultivated fields. Residents in the villages of Platanovrissi and Agia Paraskevi at Achaia were ordered to evacuate. Copernicus EMS Rapid Mapping is re...",
EMSR593,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest Fire in South Crete- Greece,POINT (24.66211 35.13),2022-07-17T09:17:00,2022-07-27T13:07:00,response,True,1,3,"A forest fire started near Ornes village in Rethymno regional unit (Crete, Greece) on Friday morning, burning forest, scrub and cultivated fields. Residents in the village of Melambes were ordered to evacuate. Copernicus EMS Mapping products will be used mainly by local authorities (Forest Servic...",
EMSR592,[{'short_name': 'France'}],"{'slug': 'fire', 'name': 'Wildfire'}",Forest fires in South West- Gironde and Landes- France,POINT (-0.50839 44.9547),2022-07-16T15:06:00,2022-07-22T00:04:00,response,True,2,9,"Major forest fires have broken out in the South and South-West of France since July 12, 2022. More than 6500 ha has already been burnt in the Landiras forest fire with already over 3100 ha being burnt in the La Teste de Buch forest in or close to the Gironde d√©partement. With the forecast for th...",
EMSR591,[{'short_name': 'Croatia'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Zaton- Croatia,POINT (15.82 43.79),2022-07-14T00:24:00,2022-07-15T17:07:00,response,True,1,2,"Severe wildfire near Zaton town started on 13.07.2022. Nearly 2000 ha were burnt, and several houses and vehicles affected. More than 300 firefighters with more than 85 vehicles have been employed and more will be involved due to the constant wind change that in the _x000D_
next few hours might m...",
EMSR590,[{'short_name': 'Spain'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Las Hurdes-Sierra de Francia- Spain,POINT (-6.22015 40.46744),2022-07-13T10:10:00,2022-07-20T01:34:00,response,True,1,5,"A fire started in the early afternoon of July 11 is affecting the Natural Park of Las Batuecas-Sierra de Francia, an area of great_x000D_
ecological value. About 4000 ha have already been burned. Several villages have been affected and about 600 people have been evacuated. State_x000D_
resources...",
EMSR589,[{'short_name': 'Portugal'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Ourém- Portugal,POINT (-8.479999999999999 39.717999999999996),2022-07-08T20:48:00,2022-07-16T07:24:00,response,True,2,6,"Several wild fires started in the Leiria and Santarem districts (Ourém municipality) on July 07th, 2022, causing threat to nearby settlements. Wild fires are developing mainly in a pine forest, with the line of fire extending for several kilometers",
EMSR588,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Itea- Greece,POINT (22.44 38.46),2022-07-05T07:21:00,2022-07-06T17:57:00,response,True,1,2,"According to the Hellenic Fire Service 140 firefighters, with 4 groups of pedestrian departments, 43 vehicles, 11 water-bombing aircrafts, 7 helicopters and municipal water tanks are involved in the operations. Residents were evacuated of several areas in North Itea. Copernicus EMS Mapping produc...",
EMSR587,[{'short_name': 'Greece'}],"{'slug': 'fire', 'name': 'Wildfire'}",Wildfire in Portes- Greece,POINT (21.56206 37.91047),2022-07-05T07:18:00,2022-07-07T15:20:00,response,True,1,2,"On the 3rd July 2022 afternoon, a forest fire started near Portes village in Achaia region (Greece) and then spread into the neighbouring regional unit of Ileia, burning pine forest, scrub and cultivated fields. Residents of the villages of Valmi, Kotronas, Latta and Karagianeika were ordered to...",
